Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",134.239000,-126.746000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",141.605000,-120.777000,180.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Right",141.224000,-122.682000,90.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Right",137.668000,-129.286000,270.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Right",143.510000,-128.524000,180.000000,top
"MK1","IM69D120","Infineon_PG-LLGA-5-1",139.446000,-125.984000,0.000000,top
"R1","4k7","R_0402_1005Metric",134.112000,-124.968000,270.000000,top
"R2","100","R_0402_1005Metric",137.412000,-123.571000,0.000000,top
"R3","0","R_0402_1005Metric",143.764000,-124.968000,270.000000,top
"R4","0","R_0402_1005Metric",141.222000,-128.143000,0.000000,top
"U1","ADAU7002","BGA-8_2x4_0.8x1.6mm",135.509000,-124.714000,0.000000,top
