"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","100nF","Capacitor_SMD:C_0402_1005Metric","~","",""
"C2","0.1uF","Capacitor_SMD:C_0402_1005Metric","~","",""
"J1","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"J2","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","",""
"J3","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","",""
"MK1","IM69D120","Sensor_Audio:Infineon_PG-LLGA-5-1","https://www.infineon.com/dgdl/Infineon-IM69D120-DS-v01_00-EN.pdf?fileId=5546d462602a9dc801607a0e41a01a2b","",""
"R1","4k7","Resistor_SMD:R_0402_1005Metric","~","",""
"R2","100","Resistor_SMD:R_0402_1005Metric","~","",""
"R3","0","Resistor_SMD:R_0402_1005Metric","~","",""
"R4","0","Resistor_SMD:R_0402_1005Metric","~","",""
"U1","ADAU7002","custom:BGA-8_2x4_0.8x1.6mm","","",""
